102
National,ODY-AFD0001,AFD0001,AL,2023,Land Rover,Model Y,grey,HJJAKNUZAEV142133,GroupFR00001,TUS,Waelchifort,454 Hirthe Circles,Block 000001,Bellflower,TX,31662,(504) 363-6703,ERAC-AFD0001,
Alamo,ODY-AFD0002,AFD0002,AK,2025,Mahindra & Mahindra,Model S,indigo,A7VYPZ21FBRS08229,GroupFR00002,AVL,Beavercreek,75811 Esperanza Shores,Block 000002,Medford,VT,38520,(716) 452-2376,ERAC-AFD0002,
Alamo,ODY-AFD0003,AFD0003,AZ,2026,Citroën,Model S,fuchsia,SZ29BES2MWHT30978,GroupFR00003,SBP,Leonardstead,9207 Larkin Stream,Block 000003,New Benny,MI,37797,(480) 492-6031,ERAC-AFD0003,
National,ODY-AFD0004,AFD0004,AR,2026,Mini,V90,olive,4UPLC6R40DE346713,GroupFR00004,LAS,Alveraview,5318 Swift Creek,Block 000004,Lake Cadefort,WI,36145,(834) 932-0527,ERAC-AFD0004,
Alamo,ODY-AFD0005,AFD0005,CA,2023,Tesla,Civic,silver,2FJXXM9JCBK076031,GroupFR00005,GRR,Morarhaven,42799 Sporer Harbor,Block 000005,Stephanietown,SC,39039,(541) 917-3789,ERAC-AFD0005,
Enterprise,ODY-AFD0006,AFD0006,CO,2024,Smart,Prius,white,47VZAA3HEDC784126,GroupFR00006,LNK,Raynorville,943 Rita Crossing,Block 000006,New Russton,TN,34762,(978) 666-3750,ERAC-AFD0006,
National,ODY-AFD0007,AFD0007,CT,2026,Mazda,Grand Caravan,tan,SWF6YP0BFGP209459,GroupFR00007,RNO,Galveston,1261 N 1st Street,Block 000007,Judyton,MI,30927,(394) 693-0072,ERAC-AFD0007,
Enterprise,ODY-AFD0008,AFD0008,DE,2026,Chrysler,Countach,salmon,7R45A7RLCFG258371,GroupFR00008,DAY,New Carolineburgh,32244 Nitzsche Plains,Block 000008,Lake Amaliaville,VT,38702,(529) 742-9468,ERAC-AFD0008,
Alamo,ODY-AFD0009,AFD0009,FL,2024,Mitsubishi,Camaro,maroon,L0B7MZ9U3FFG25302,GroupFR00009,LEX,Shreveport,508 Nicole Trail,Block 000009,Boyershire,WA,30797,(749) 716-2770,ERAC-AFD0009,
Enterprise,ODY-AFD0010,AFD0010,GA,2026,Ford,Challenger,tan,FKY5Y0R541XE32011,GroupFR00010,DAY,Beaumont,898 Carter Key,Block 000010,Joaquintown,VA,36960,(323) 959-1987,ERAC-AFD0010,
Enterprise,ODY-AFD0011,AFD0011,HI,2026,Maruti,Element,blue,S4AX6W33T9NB71938,GroupFR00011,RNO,Hyatttown,713 Oak Avenue,Block 000011,Gavinberg,CO,33404,(902) 952-8502,ERAC-AFD0011,
Enterprise,ODY-AFD0012,AFD0012,ID,2023,Ferrari,Mercielago,cyan,Y6KBV93ZU4XH48654,GroupFR00012,FNT,West Jamar,1299 The Square,Block 000012,Schusterton,VT,34182,(536) 420-3734,ERAC-AFD0012,
National,ODY-AFD0013,AFD0013,IL,2023,Maserati,Explorer,orange,0ERNXFBD6PV498024,GroupFR00013,CAE,South Mistybury,220 Dach Station,Block 000013,Dickensbury,TX,33060,(913) 522-4695,ERAC-AFD0013,
National,ODY-AFD0014,AFD0014,IN,2026,Volvo,ATS,mint green,RP8U4V6ATVB267066,GroupFR00014,DFW,Fort Nickolas,166 Harber Spurs,Block 000014,Leslyville,WY,38081,(351) 993-5067,ERAC-AFD0014,
Enterprise,ODY-AFD0015,AFD0015,IA,2023,Citroën,Model X,pink,SSCTB2FLU0S823101,GroupFR00015,BUR,Ernserview,402 Alfred Causeway,Block 000015,East Rosemaryberg,WI,34923,(569) 592-5373,ERAC-AFD0015,
National,ODY-AFD0016,AFD0016,KS,2026,Dodge,A8,plum,DYZUVNTH8LXN81666,GroupFR00016,TLH,New Orinstead,4936 Kenny Stream,Block 000016,Port Larryport,NJ,32610,(732) 366-9207,ERAC-AFD0016,
Enterprise,ODY-AFD0017,AFD0017,KY,2025,Mini,Model Y,black,VYFAPHZ5XHKT80447,GroupFR00017,OTH,Holdenside,2234 Theron Harbor,Block 000017,Jonesboro,NM,38677,(928) 328-2612,ERAC-AFD0017,
Alamo,ODY-AFD0018,AFD0018,LA,2026,Subaru,Malibu,red,TDY4W08HNDMX31089,GroupFR00018,SCK,Freeport,38750 Rodriguez Ville,Block 000018,Cydneyview,NH,36297,(930) 554-8975,ERAC-AFD0018,
National,ODY-AFD0019,AFD0019,ME,2026,Cadillac,Aventador,silver,8A12SKUN5XKL66236,GroupFR00019,RDD,Dubuque,70430 Zieme Streets,Block 000019,Pocatello,MA,34657,(519) 767-0551,ERAC-AFD0019,
Alamo,ODY-AFD0020,AFD0020,MD,2025,Jaguar,Cruze,sky blue,CE2H8F2GRDCZ27965,GroupFR00020,CAK,Wendyview,2071 Keagan Flats,Block 000020,Fort Ethel,AL,30123,(705) 549-7876,ERAC-AFD0020,
National,ODY-AFD0021,AFD0021,MA,2024,Citroën,Model T,salmon,2ZM533YEPZBE52596,GroupFR00021,HNL,Okeyside,5578 Ash Close,Block 000021,Batzfurt,IL,36016,(665) 942-8425,ERAC-AFD0021,
National,ODY-AFD0022,AFD0022,MI,2026,Fiat,Taurus,lime,9U1H87YRGVZ227261,GroupFR00022,CLT,Jaspercester,87236 Callie Rapid,Block 000022,Randallville,GA,35733,(408) 493-9914,ERAC-AFD0022,
Enterprise,ODY-AFD0023,AFD0023,MN,2026,BYD,Colorado,lime,2AYXRAN6R8GK13146,GroupFR00023,HLN,South Fabiolaberg,7595 Jazmyn Shoals,Block 000023,Langworthhaven,MT,37005,(560) 298-9490,ERAC-AFD0023,
Enterprise,ODY-AFD0024,AFD0024,MS,2026,Suzuki,Model Y,gold,X0317VN1RCDE37937,GroupFR00024,ELP,South Jarvismouth,1922 Homenick Skyway,Block 000024,Rowlandport,IA,36192,(953) 888-3518,ERAC-AFD0024,
Enterprise,ODY-AFD0025,AFD0025,MO,2025,Hyundai,Aventador,magenta,D06840G2EUBB94968,GroupFR00025,BIL,North Winfield,52645 Ward Centers,Block 000025,Raquelberg,IN,36511,(518) 373-6950,ERAC-AFD0025,
Alamo,ODY-AFD0026,AFD0026,MT,2023,Aston Martin,Aventador,blue,450N3U5ZGBF112396,GroupFR00026,PBI,Margaretteborough,341 Beatty Knoll,Block 000026,Kemmerchester,FL,37273,(921) 459-1142,ERAC-AFD0026,
