License Plate Number,License Plate State
AFJ0001,AL
AFJ0002,AK
AFJ0003,AZ
AFJ0004,AR
AFJ0005,CA
AFJ0006,CO
AFJ0007,CT
AFJ0008,DE
AFJ0009,FL
AFJ0010,GA
AFJ0011,HI
AFJ0012,ID
AFJ0013,IL
AFJ0014,IN
AFJ0015,IA
AFJ0016,KS
AFJ0017,KY
AFJ0018,LA
AFJ0019,ME
AFJ0020,MD
AFJ0021,MA
AFJ0022,MI
AFJ0023,MN
AFJ0024,MS
AFJ0025,MO
AFJ0026,MT
AFJ0027,NE
AFJ0028,NV
AFJ0029,NH
AFJ0030,NJ
AFJ0031,NM
AFJ0032,NY
AFJ0033,NC
AFJ0034,ND
AFJ0035,OH
AFJ0036,OK
AFJ0037,OR
AFJ0038,PA
AFJ0039,RI
AFJ0040,SC
AFJ0041,SD
AFJ0042,TN
AFJ0043,TX
AFJ0044,UT
AFJ0045,VT
AFJ0046,VA
AFJ0047,WA
AFJ0048,WV
AFJ0049,WI
AFJ0050,WY
AFJ0051,AL
AFJ0052,AK
AFJ0053,AZ
AFJ0054,AR
AFJ0055,CA
AFJ0056,CO
AFJ0057,CT
AFJ0058,DE
AFJ0059,FL
AFJ0060,GA
AFJ0061,HI
AFJ0062,ID
AFJ0063,IL
AFJ0064,IN
AFJ0065,IA
AFJ0066,KS
AFJ0067,KY
AFJ0068,LA
AFJ0069,ME
AFJ0070,MD
AFJ0071,MA
AFJ0072,MI
AFJ0073,MN
AFJ0074,MS
AFJ0075,MO
AFJ0076,MT
AFJ0077,NE
AFJ0078,NV
AFJ0079,NH
AFJ0080,NJ
AFJ0081,NM
AFJ0082,NY
AFJ0083,NC
AFJ0084,ND
AFJ0085,OH
AFJ0086,OK
AFJ0087,OR
AFJ0088,PA
AFJ0089,RI
AFJ0090,SC
AFJ0091,SD
AFJ0092,TN
AFJ0093,TX
AFJ0094,UT
AFJ0095,VT
AFJ0096,VA
AFJ0097,WA
AFJ0098,WV
AFJ0099,WI
AFJ0100,WY
