License Plate Number,License Plate State
ABA0001,PA
ABA0002,NV
ABA0003,CO
ABA0004,PA
ABA0005,MO
ABA0006,WI
ABA0007,KY
ABA0008,SD
ABA0009,WV
ABA0010,KY
ABA0011,MT
ABA0012,VA
ABA0013,NM
ABA0014,NE
ABA0015,LA
ABA0016,OR
ABA0017,HI
ABA0018,ME
ABA0019,SC
ABA0020,ND
ABA0021,ID
ABA0022,SD
ABA0023,SC
ABA0024,SD
ABA0025,OH
ABA0026,NE
ABA0027,ME
ABA0028,RI
ABA0029,IA
ABA0030,OK
ABA0031,FL
ABA0042,MS
ABA0043,WY
ABA0044,NJ
ABA0045,AR
ABA0046,HI
ABA0047,FL
ABA0048,AL
ABA0049,ID
ABB0001,UT
ABB0002,TX
ABC0001,IL
ABC0001,UT
ABC0002,MI
ABC0002,MN
ABC0003,NV
ABC0003,PA
ABC0004,GA
ABC0004,VA
ABC0005,MA
ABC0005,NY
ABC0006,AZ
ABC0006,WY
ABC0007,NJ
ABC0007,SD
ABC0008,NH
ABC0008,UT
ABC0009,IN
ABC0009,KS
ABC0010,IN
ABC0010,MT
ABC0011,NJ
ABC0011,NM
ABC0012,TN
ABC0012,WI
ABC0013,KY
ABC0013,ND
ABC0014,MN
ABC0014,NC
ABC0015,IN
ABC0015,ND
ABC0016,MS
ABC0016,OK
ABC0017,ND
ABC0017,NH
ABC0018,AZ
ABC0018,IL
ABC0019,HI
ABC0019,MO
ABC0020,KS
ABC0020,OR
ABC0021,AK
ABC0021,OK
ABC0022,CO
ABC0022,WV
ABC0023,IL
ABC0023,KY
ABC0024,MD
ABC0024,NV
ABC0025,MT
ABC0025,NV
ABC0026,CA
ABC0026,NM
ABC0027,NE
ABC0027,VA
ABC0028,NV
ABC0028,TN
ABC0029,NY
ABC0029,RI
ABC0030,ID
ABC0030,RI
ABC0031,TX
ABC0031,WA
ABC0032,AL
ABC0032,NH
ABC0033,IN
ABC0033,WV
ABC0034,ID
ABC0034,OR
ABC0035,ID
ABC0035,NY
ABC0036,MT
ABC0036,OR
ABC0037,CA
ABC0037,OH
ABC0038,KY
ABC0038,VT
ABC0039,NJ
ABC0039,SC
ABC0040,KS
ABC0040,OH
ABC0041,NE
ABC0042,IA
ABC0043,GA
ABC0044,HI
ABC0045,MS
ABC0046,RI
ABC0047,CA
ABC0048,MS
ABC0049,NE
ABC0050,NM
ABC0051,NY
ABC0052,WV
ABC0053,FL
ABC0054,WI
ABC0055,SD
ABC0056,NV
ABC0057,VT
ABC0058,SC
ABC0059,NH
ABC0060,NY
ABC0061,VT
ABC0062,AZ
ABC0063,OK
ABC0064,WA
ABC0065,VT
ABC0066,IA
ABC0067,OH
ABC0068,HI
ABC0069,AR
ABC0070,PA
ABC0071,NH
ABC0072,MT
ABC0073,OR
ABC0074,TN
ABC0075,MA
ABC0076,AR
ABC0077,MO
ABC0078,OR
ABC0079,NJ
ABC0080,MI
ABC0081,AK
ABC0082,MO
ABC0083,MI
ABC0084,AR
ABC0085,TN
ABC0086,CT
ABC0087,MO
ABC0088,NV
ABC0089,SC
ABC0090,MS
ABC0091,LA
ABC0092,WY
ABC0093,MO
ABC0094,TN
ABC0095,WI
ABC0096,KY
ABC0097,SC
ABC0098,VA
ABC0099,OR
ABC0100,NH
ABC0101,MA
ABC0102,WY
ABC0103,VA
ABC0104,TX
ABC0105,MA
ABC0106,CA
ABC0107,CO
ABC0108,AK
ABC0109,DE
ABC0110,AK
ABC0111,TX
ABC0112,LA
ABC0113,WI
ABC0114,IA
ABC0115,NJ
ABC0116,AK
ABC0117,MD
ABC0118,WY
ABC0119,AR
ABC0120,PA
ABC0121,GA
ABC0122,FL
ABC0123,ID
ABC0124,FL
ABC0125,GA
ABC0126,MT
ABC0127,NJ
ABC0128,NH
ABC0129,SD
ABC0130,IN
ABC0131,NM
ABC0132,OH
ABC0133,NV
ABC0134,FL
ABC0135,HI
ABC0136,UT
ABC0137,TN
ABC0138,RI
ABC0139,UT
ABC0140,IL
ABC0141,OH
ABC0142,NV
ABC0143,ID
ABC0144,NV
ABC0145,NJ
ABC0146,NV
ABC0147,CO
ABC0148,IL
ABC0149,NM
ABC0150,NJ
ABC0151,AZ
ABC0152,NE
ABC0153,MN
ABC0154,SD
ABC0155,OH
ABC0156,IA
ABC0157,KY
ABC0158,MA
ABC0159,AZ
ABC0160,IL
ABC0161,WV
ABC0162,FL
ABC0163,AR
ABC0164,UT
ABC0165,WV
ABC0166,MO
ABC0167,IN
ABC0168,WY
ABC0169,OH
ABC0170,RI
ABC0171,HI
ABC0172,FL
ABC0173,ND
ABC0174,ME
ABC0175,LA
ABC0176,MD
ABC0177,AK
ABC0178,MA
ABC0179,NJ
ABC0180,IN
ABC0181,AZ
ABC0182,MI
ABC0183,CA
ABC0184,WI
ABC0185,MI
ABC0186,NE
ABC0187,AZ
ABC0188,MT
ABC0189,NE
ABC0190,ND
ABC0191,NV
ABC0192,HI
ABC0193,RI
ABC0194,NY
ABC0195,NC
ABC0196,OH
ABC0197,IL
ABC0198,FL
ABC0199,MO
ABC0200,AK
ABC0201,MN
ABC0202,IA
ABC0203,AZ
ABC0204,RI
ABC0205,AZ
ABC0206,WI
ABC0207,MO
ABC0208,OH
ABC0209,NV
ABC0210,MA
ABC0211,AR
ABC0212,MD
ABC0213,IA
ABC0214,OK
ABC0215,MN
ABC0216,TN
ABC0217,GA
ABC0218,NH
ABC0219,NJ
ABC0220,MT
ABC0221,NV
ABC0222,GA
ABC0223,GA
ABC0224,GA
ABC0225,FL
ABC0226,VT
ABC0227,AR
ABC0228,TX
ABC0229,SC
ABC0230,NV
ABC0231,NM
ABC0232,VT
ABC0233,KS
ABC0234,WI
ABC0235,WV
ABC0236,SD
ABC0237,DE
ABC0238,AK
ABC0239,NJ
ABC0240,HI
ABC0241,MO
ABC0242,OK
ABC0243,NV
ABC0244,IL
ABC0245,CA
ABC0246,VA
ABC0247,NE
ABC0248,NC
ABC0249,CA
ABC0250,MI
ABC0251,FL
ABC0252,OK
ABC0253,CO
ABC0254,OK
ABC0255,MI
ABC0256,NV
ABC0257,OH
ABC0258,SD
ABC0259,ID
ABC0260,IA
ABC0261,MD
ABC0262,MA
ABC0263,NE
ABC0264,ND
ABC0265,MI
ABC0266,WI
ABC0267,MA
ABC0268,CT
ABC0269,ME
ABC0270,NY
ABC0271,ME
ABC0272,DE
ABC0273,GA
ABC0274,WI
ABC0275,MO
ABC0276,GA
ABC0277,MS
ABC0278,WV
ABC0279,AK
ABC0280,PA
ABC0281,OK
ABC0282,LA
ABC0283,SC
ABC0284,CT
ABC0285,NC
ABC0286,VA
ABC0287,SD
ABC0288,KY
ABC0289,CT
ABC0290,MT
ABC0291,MN
ABC0292,CT
ABC0293,SC
ABC0294,NE
ABC0295,RI
ABC0296,MD
ABC0297,NJ
ABC0298,UT
ABC0299,TN
ABC0300,ID
ABC0301,MO
ABC0302,CO
ABC0303,AL
ABC0304,AZ
ABC0305,NJ
ABC0306,WA
ABC0307,LA
ABC0308,NJ
ABC0309,KS
ABC0310,UT
ABC0311,MD
ABC0312,MT
ABC0313,WI
ABC0314,MD
ABC0315,AZ
ABC0316,CO
ABC0317,AL
ABC0318,IN
ABC0319,CT
ABC0320,SD
ABC0321,VA
ABC0322,NC
ABC0323,PA
ABC0324,DE
ABC0325,HI
ABC0326,WV
ABC0327,AR
ABC0328,ND
ABC0329,GA
ABC0330,TN
ABC0331,NC
ABC0332,AK
ABC0333,WV
ABC0334,TX
ABC0335,IA
ABC0336,ND
ABC0337,FL
ABC0338,PA
ABC0339,NJ
ABC0340,NE
ABC0341,RI
ABC0342,NY
ABC0343,NJ
ABC0344,DE
ABC0345,ID
ABC0346,MS
ABC0347,SD
ABC0348,OR
ABC0349,MT
ABC0350,NC
ABC0351,DE
ABC0352,IN
ABC0353,LA
ABC0354,CA
ABC0355,AR
ABC0356,FL
ABC0357,MI
ABC0358,OR
ABC0359,WI
ABC0360,NJ
ABC0361,AK
ABC0362,KS
ABC0363,NV
ABC0364,NH
ABC0365,MO
ABC0366,HI
ABC0367,LA
ABC0368,NV
ABC0369,NY
ABC0370,RI
ABC0371,KS
ABC0372,AZ
ABC0373,SD
ABC0374,NE
ABC0375,FL
ABC0376,HI
ABC0377,DE
ABC0378,IA
ABC0379,IA
ABC0380,TX
ABC0381,IN
ABC0382,DE
ABC0383,KS
ABC0384,NH
ABC0385,MT
ABC0386,SD
ABC0387,AZ
ABC0388,IA
ABC0389,WA
ABC0390,LA
ABC0391,NE
ABC0392,WI
ABC0393,NM
ABC0394,RI
ABC0395,AL
ABC0396,LA
ABC0397,ND
ABC0398,ME
ABC0399,ND
ABC0400,AL
ABC0401,WV
ABC0402,VT
ABC0403,NJ
ABC0404,WA
ABC0405,IN
ABC0406,NJ
ABC0407,MT
ABC0408,ID
ABC0409,WV
ABC0410,NM
ABC0411,AL
ABC0412,MN
ABC0413,LA
ABC0414,AZ
ABC0415,WI
ABC0416,NV
ABC0417,SC
ABC0418,MN
ABC0419,NM
ABC0420,WY
ABC0421,OK
ABC0422,MA
ABC0423,WI
ABC0424,IL
ABC0425,NV
ABC0426,VA
ABC0427,AK
ABC0428,MI
ABC0429,NC
ABC0430,AL
ABC0431,IL
ABC0432,WI
ABC0433,MD
ABC0434,MD
ABC0435,CO
ABC0436,DE
ABC0437,RI
ABC0438,SC
ABC0439,TX
ABC0440,FL
ABC0441,MA
ABC0442,ID
ABC0443,IA
ABC0444,FL
ABC0445,VT
ABC0446,TX
ABC0447,GA
ABC0448,WY
ABC0449,AL
ABC0450,ME
ABC0451,NV
ABC0452,AK
ABC0453,NH
ABC0454,VT
ABC0455,LA
ABC0456,MO
ABC0457,MA
ABC0458,VT
ABC0459,TN
ABC0460,IL
ABC0461,MN
ABC0462,OK
ABC0463,ME
ABC0464,PA
