


Plate Number,Country,State,Plate Type,Year,Make,Model,Start Date/Time,End Date/Time,Is a Rental Vehicle,Vehicle Type,Delete
AFF0091,USA,SD,PASSENGER,2025,,Other,,,N,72,Y
AFF0092,USA,TN,PASSENGER,2026,,Other,,,N,72,Y
AFF0093,USA,TX,PASSENGER,2026,,Other,,,N,72,Y
AFF0094,USA,UT,PASSENGER,2026,,Other,,,N,72,Y
AFF0095,USA,VT,PASSENGER,2024,,Other,,,N,72,Y
AFF0096,USA,VA,PASSENGER,2025,,Other,,,N,72,Y
AFF0097,USA,WA,PASSENGER,2026,,Other,,,N,72,Y
AFF0098,USA,WV,PASSENGER,2026,,Other,,,N,72,Y
AFF0099,USA,WI,PASSENGER,2025,,Other,,,N,72,Y
AFF0100,USA,WY,PASSENGER,2026,,Other,,,N,72,Y
AFJ0001,USA,AL,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0002,USA,AK,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0003,USA,AZ,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0004,USA,AR,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0005,USA,CA,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0006,USA,CO,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0007,USA,CT,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0008,USA,DE,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0009,USA,FL,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0010,USA,GA,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0011,USA,HI,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0012,USA,ID,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0013,USA,IL,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0014,USA,IN,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0015,USA,IA,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0016,USA,KS,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0017,USA,KY,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0018,USA,LA,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0019,USA,ME,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0020,USA,MD,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0021,USA,MA,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0022,USA,MI,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0023,USA,MN,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0024,USA,MS,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0025,USA,MO,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0026,USA,MT,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0027,USA,NE,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0028,USA,NV,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0029,USA,NH,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0030,USA,NJ,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0031,USA,NM,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0032,USA,NY,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0033,USA,NC,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
