Vehicle Year,Vehicle Make,Vehicle Model,License Plate State,License Plate Number,Pikepass Type,Axles
2025,Acura,CL,PA,ABA0001,Pikepass Sticker,2
2025,Acura,CL,NV,ABA0002,Pikepass Sticker,2
2025,Acura,CL,CO,ABA0003,Pikepass Sticker,2
2025,Acura,CL,PA,ABA0004,Pikepass Sticker,2
2025,Acura,CL,MO,ABA0005,Pikepass Sticker,2
2025,Acura,CL,WI,ABA0006,Pikepass Sticker,2
2025,Acura,CL,KY,ABA0007,Pikepass Sticker,2
2025,Acura,CL,SD,ABA0008,Pikepass Sticker,2
2025,Acura,CL,WV,ABA0009,Pikepass Sticker,2
2025,Acura,CL,KY,ABA0010,Pikepass Sticker,2
2025,Acura,CL,MT,ABA0011,Pikepass Sticker,2
2025,Acura,CL,VA,ABA0012,Pikepass Sticker,2
2025,Acura,CL,NM,ABA0013,Pikepass Sticker,2
2025,Acura,CL,NE,ABA0014,Pikepass Sticker,2
2025,Acura,CL,LA,ABA0015,Pikepass Sticker,2
2025,Acura,CL,OR,ABA0016,Pikepass Sticker,2
2025,Acura,CL,HI,ABA0017,Pikepass Sticker,2
2025,Acura,CL,ME,ABA0018,Pikepass Sticker,2
2025,Acura,CL,SC,ABA0019,Pikepass Sticker,2
2025,Acura,CL,ND,ABA0020,Pikepass Sticker,2
2025,Acura,CL,ID,ABA0021,Pikepass Sticker,2
2025,Acura,CL,SD,ABA0022,Pikepass Sticker,2
2025,Acura,CL,SC,ABA0023,Pikepass Sticker,2
2025,Acura,CL,SD,ABA0024,Pikepass Sticker,2
2025,Acura,CL,OH,ABA0025,Pikepass Sticker,2
2025,Acura,CL,NE,ABA0026,Pikepass Sticker,2
2025,Acura,CL,ME,ABA0027,Pikepass Sticker,2
2025,Acura,CL,RI,ABA0028,Pikepass Sticker,2
2025,Acura,CL,IA,ABA0029,Pikepass Sticker,2
2025,Acura,CL,OK,ABA0030,Pikepass Sticker,2
2025,Acura,CL,FL,ABA0031,Pikepass Sticker,2
2025,Acura,CL,MS,ABA0042,Pikepass Sticker,2
2025,Acura,CL,WY,ABA0043,Pikepass Sticker,2
2025,Acura,CL,NJ,ABA0044,Pikepass Sticker,2
2025,Acura,CL,AR,ABA0045,Pikepass Sticker,2
2025,Acura,CL,HI,ABA0046,Pikepass Sticker,2
2025,Acura,CL,FL,ABA0047,Pikepass Sticker,2
2025,Acura,CL,AL,ABA0048,Pikepass Sticker,2
2025,Acura,CL,ID,ABA0049,Pikepass Sticker,2
2025,Acura,CL,UT,ABB0001,Pikepass Sticker,2
2025,Acura,CL,TX,ABB0002,Pikepass Sticker,2
2025,Acura,CL,IL,ABC0001,Pikepass Sticker,2
2025,Acura,CL,UT,ABC0001,Pikepass Sticker,2
2025,Acura,CL,MI,ABC0002,Pikepass Sticker,2
2025,Acura,CL,MN,ABC0002,Pikepass Sticker,2
2025,Acura,CL,NV,ABC0003,Pikepass Sticker,2
2025,Acura,CL,PA,ABC0003,Pikepass Sticker,2
2025,Acura,CL,GA,ABC0004,Pikepass Sticker,2
2025,Acura,CL,VA,ABC0004,Pikepass Sticker,2
2025,Acura,CL,MA,ABC0005,Pikepass Sticker,2
2025,Acura,CL,NY,ABC0005,Pikepass Sticker,2
2025,Acura,CL,AZ,ABC0006,Pikepass Sticker,2
2025,Acura,CL,WY,ABC0006,Pikepass Sticker,2
2025,Acura,CL,NJ,ABC0007,Pikepass Sticker,2
2025,Acura,CL,SD,ABC0007,Pikepass Sticker,2
2025,Acura,CL,NH,ABC0008,Pikepass Sticker,2
2025,Acura,CL,UT,ABC0008,Pikepass Sticker,2
2025,Acura,CL,IN,ABC0009,Pikepass Sticker,2
2025,Acura,CL,KS,ABC0009,Pikepass Sticker,2
2025,Acura,CL,IN,ABC0010,Pikepass Sticker,2
2025,Acura,CL,MT,ABC0010,Pikepass Sticker,2
2025,Acura,CL,NJ,ABC0011,Pikepass Sticker,2
2025,Acura,CL,NM,ABC0011,Pikepass Sticker,2
