


Plate Number,Country,State,Plate Type,Year,Make,Model,Color,Start Date/Time,End Date/Time,Is a Rental Vehicle,Is a Trailer Plate,delete
AFJ0040,USA,SC,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0041,USA,SD,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0042,USA,TN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0043,USA,TX,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0044,USA,UT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0045,USA,VT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0046,USA,VA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0047,USA,WA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0048,USA,WV,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0049,USA,WI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0050,USA,WY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0051,USA,AL,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0052,USA,AK,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0053,USA,AZ,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0054,USA,AR,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0055,USA,CA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0056,USA,CO,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0057,USA,CT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0058,USA,DE,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0059,USA,FL,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0060,USA,GA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0061,USA,HI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0062,USA,ID,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0063,USA,IL,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0064,USA,IN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0065,USA,IA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0066,USA,KS,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0067,USA,KY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0068,USA,LA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0069,USA,ME,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0070,USA,MD,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0071,USA,MA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0072,USA,MI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0073,USA,MN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0074,USA,MS,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0075,USA,MO,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0076,USA,MT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0077,USA,NE,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0078,USA,NV,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0079,USA,NH,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0080,USA,NJ,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0081,USA,NM,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0082,USA,NY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0083,USA,NC,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0084,USA,ND,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0085,USA,OH,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
