License Plate Number,License Plate State
AFH0001,AL
AFH0002,AK
AFH0003,AZ
AFH0004,AR
AFH0005,CA
AFH0006,CO
AFH0007,CT
AFH0008,DE
AFH0009,FL
AFH0010,GA
AFH0011,HI
AFH0012,ID
AFH0013,IL
AFH0014,IN
AFH0015,IA
AFH0016,KS
AFH0017,KY
AFH0018,LA
AFH0019,ME
AFH0020,MD
AFH0021,MA
AFH0022,MI
AFH0023,MN
AFH0024,MS
AFH0025,MO
AFH0026,MT
AFH0027,NE
AFH0028,NV
AFH0029,NH
AFH0030,NJ
AFH0031,NM
AFH0032,NY
AFH0033,NC
AFH0034,ND
AFH0035,OH
AFH0036,OK
AFH0037,OR
AFH0038,PA
AFH0039,RI
AFH0040,SC
AFH0041,SD
AFH0042,TN
AFH0043,TX
AFH0044,UT
AFH0045,VT
AFH0046,VA
AFH0047,WA
AFH0048,WV
AFH0049,WI
AFH0050,WY
AFH0051,AL
AFH0052,AK
AFH0053,AZ
AFH0054,AR
AFH0055,CA
AFH0056,CO
AFH0057,CT
AFH0058,DE
AFH0059,FL
AFH0060,GA
AFH0061,HI
AFH0062,ID
AFH0063,IL
AFH0064,IN
AFH0065,IA
AFH0066,KS
AFH0067,KY
AFH0068,LA
AFH0069,ME
AFH0070,MD
AFH0071,MA
AFH0072,MI
AFH0073,MN
AFH0074,MS
AFH0075,MO
AFH0076,MT
AFH0077,NE
AFH0078,NV
AFH0079,NH
AFH0080,NJ
AFH0081,NM
AFH0082,NY
AFH0083,NC
AFH0084,ND
AFH0085,OH
AFH0086,OK
AFH0087,OR
AFH0088,PA
AFH0089,RI
AFH0090,SC
AFH0091,SD
AFH0092,TN
AFH0093,TX
AFH0094,UT
AFH0095,VT
AFH0096,VA
AFH0097,WA
AFH0098,WV
AFH0099,WI
AFH0100,WY
AFJ0001,AL
AFJ0002,AK
AFJ0003,AZ
AFJ0004,AR
AFJ0005,CA
AFJ0006,CO
AFJ0007,CT
AFJ0008,DE
AFJ0009,FL
AFJ0010,GA
AFJ0011,HI
AFJ0012,ID
AFJ0013,IL
AFJ0014,IN
AFJ0015,IA
AFJ0016,KS
AFJ0017,KY
AFJ0018,LA
AFJ0019,ME
AFJ0020,MD
AFJ0021,MA
AFJ0022,MI
AFJ0023,MN
AFJ0024,MS
AFJ0025,MO
AFJ0026,MT
AFJ0027,NE
AFJ0028,NV
AFJ0029,NH
AFJ0030,NJ
AFJ0031,NM
AFJ0032,NY
AFJ0033,NC
AFJ0034,ND
AFJ0035,OH
AFJ0036,OK
AFJ0037,OR
AFJ0038,PA
AFJ0039,RI
AFJ0040,SC
AFJ0041,SD
AFJ0042,TN
AFJ0043,TX
AFJ0044,UT
AFJ0045,VT
AFJ0046,VA
AFJ0047,WA
AFJ0048,WV
AFJ0049,WI
AFJ0050,WY
AFJ0051,AL
AFJ0052,AK
AFJ0053,AZ
AFJ0054,AR
AFJ0055,CA
AFJ0056,CO
AFJ0057,CT
AFJ0058,DE
AFJ0059,FL
AFJ0060,GA
AFJ0061,HI
AFJ0062,ID
AFJ0063,IL
AFJ0064,IN
AFJ0065,IA
AFJ0066,KS
AFJ0067,KY
AFJ0068,LA
AFJ0069,ME
AFJ0070,MD
AFJ0071,MA
AFJ0072,MI
AFJ0073,MN
AFJ0074,MS
AFJ0075,MO
AFJ0076,MT
AFJ0077,NE
AFJ0078,NV
AFJ0079,NH
AFJ0080,NJ
AFJ0081,NM
AFJ0082,NY
AFJ0083,NC
AFJ0084,ND
AFJ0085,OH
AFJ0086,OK
AFJ0087,OR
AFJ0088,PA
AFJ0089,RI
AFJ0090,SC
AFJ0091,SD
AFJ0092,TN
AFJ0093,TX
AFJ0094,UT
AFJ0095,VT
AFJ0096,VA
AFJ0097,WA
AFJ0098,WV
AFJ0099,WI
AFJ0100,WY
AFK0001,AL
AFK0002,AK
AFK0003,AZ
AFK0004,AR
AFK0005,CA
AFK0006,CO
AFK0007,CT
AFK0008,DE
AFK0009,FL
AFK0010,GA
AFK0011,HI
AFK0012,ID
AFK0013,IL
AFK0014,IN
AFK0015,IA
AFK0016,KS
AFK0017,KY
AFK0018,LA
AFK0019,ME
AFK0020,MD
AFK0021,MA
AFK0022,MI
AFK0023,MN
AFK0024,MS
AFK0025,MO
AFK0026,MT
AFK0027,NE
AFK0028,NV
AFK0029,NH
AFK0030,NJ
AFK0031,NM
AFK0032,NY
AFK0033,NC
AFK0034,ND
AFK0035,OH
AFK0036,OK
AFK0037,OR
AFK0038,PA
AFK0039,RI
AFK0040,SC
AFK0041,SD
AFK0042,TN
AFK0043,TX
AFK0044,UT
AFK0045,VT
AFK0046,VA
AFK0047,WA
AFK0048,WV
AFK0049,WI
AFK0050,WY
AFK0051,AL
AFK0052,AK
AFK0053,AZ
AFK0054,AR
AFK0055,CA
AFK0056,CO
AFK0057,CT
AFK0058,DE
AFK0059,FL
AFK0060,GA
AFK0061,HI
AFK0062,ID
AFK0063,IL
AFK0064,IN
AFK0065,IA
AFK0066,KS
AFK0067,KY
AFK0068,LA
AFK0069,ME
AFK0070,MD
AFK0071,MA
AFK0072,MI
AFK0073,MN
AFK0074,MS
AFK0075,MO
AFK0076,MT
AFK0077,NE
AFK0078,NV
AFK0079,NH
AFK0080,NJ
AFK0081,NM
AFK0082,NY
AFK0083,NC
AFK0084,ND
AFK0085,OH
AFK0086,OK
AFK0087,OR
AFK0088,PA
AFK0089,RI
AFK0090,SC
AFK0091,SD
AFK0092,TN
AFK0093,TX
AFK0094,UT
AFK0095,VT
AFK0096,VA
AFK0097,WA
AFK0098,WV
AFK0099,WI
AFK0100,WY
