License Plate State,License Plate Country,License Plate Type,ePermit?,License Plate Number,Vehicle Make,Vehicle Model,Vehicle Year,Vehicle Color,Nickname,Start Date,Start Time,End Date,End Time
PA,US,,,ABA0001,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABA0002,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABA0003,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABA0004,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABA0005,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABA0006,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABA0007,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABA0008,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABA0009,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABA0010,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABA0011,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABA0012,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABA0013,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABA0014,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABA0015,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABA0016,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABA0017,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABA0018,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABA0019,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABA0020,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABA0021,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABA0022,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABA0023,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABA0024,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABA0025,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABA0026,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABA0027,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABA0028,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABA0029,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABA0030,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABA0031,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABA0042,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABA0043,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABA0044,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABA0045,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABA0046,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABA0047,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABA0048,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABA0049,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABB0001,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABB0002,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0001,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABC0001,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABC0002,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABC0002,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0003,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABC0003,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0004,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABC0004,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0005,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABC0005,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0006,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABC0006,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0007,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABC0007,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0008,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABC0008,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0009,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABC0009,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0010,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0010,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0011,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABC0011,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0012,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
