POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TOLL TAG # / PLATE #,EXIT PLAZA,EXIT LANE,ENTRY DATE/TIME,ENTRY PLAZA,ENTRY LANE,DEBIT(-),CREDIT(+),BALANCE
09/27/2025,09/29/2025,3:06:45 PM,ADO0074-MN,Carquinez Bridge,7,,,,$8.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0074-MN,Bay Bridge,7,,,,$4.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0073-MI,Carquinez Bridge,7,,,,$8.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0073-MI,Bay Bridge,7,,,,$4.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0072-MA,Bay Bridge,7,,,,$4.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0072-MA,Benicia,7,,,,$8.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0071-MD,Bay Bridge,7,,,,$4.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0071-MD,Benicia,7,,,,$8.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0068-KY,Bay Bridge,7,,,,$4.00,,
09/27/2025,09/29/2025,3:06:45 PM,ADO0068-KY,Bay Bridge,7,,,,$4.00,,
