Lane Txn ID,Tag/Plate #,Posted Date,Agency,Entry Plaza,Exit Plaza,Class,Date,Time,Amount,Post Txn Balance
1,ADO0066-IA,20250928,E-ZPass NY,LT,PANYNJ,,20250929,0000,18.06,1
2,ADO0067-KS,20250929,E-ZPass NY,LT,PANYNJ,,20250930,0000,14.06,1
3,ADO0068-KY,20250928,E-ZPass NY,LT,PANYNJ,,20250929,0000,18.06,1
4,ADO0072-MA,20250930,E-ZPass NY,LT,PANYNJ,,20251001,0000,18.72,1
5,ADO0074-MN,20250928,E-ZPass NY,LT,PANYNJ,,20250929,0000,18.06,1
6,AEA0001-AL,20250926,E-ZPass NY,LT,PANYNJ,,20250927,0000,14.06,1
7,AEA0002-AK,20250926,E-ZPass NY,LT,PANYNJ,,20250927,0000,18.06,1
8,AEA0003-AZ,20250926,E-ZPass NY,LT,PANYNJ,,20250927,0000,18.72,1
9,AEA0010-GA,20250925,E-ZPass NY,LT,PANYNJ,,20250926,0000,18.06,1
10,AEA0011-HI,20250927,E-ZPass NY,LT,PANYNJ,,20250928,0000,18.72,1
