POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TOLL TAG # / PLATE #,EXIT PLAZA,EXIT LANE,ENTRY DATE/TIME,ENTRY PLAZA,ENTRY LANE,DEBIT(-),CREDIT(+),BALANCE
09/27/2025,09/29/2025,1:01:06 PM,ADO0074-MN,Benicia,7,,Benicia,,$8.00,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0074-MN,Richmond,7,,Richmond,,$7.50,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0073-MI,Richmond,7,,Richmond,,$7.50,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0073-MI,Richmond,7,,Richmond,,$7.50,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0072-MA,Richmond,7,,Richmond,,$7.50,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0072-MA,Benicia,7,,Benicia,,$8.00,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0071-MD,Benicia,7,,Benicia,,$8.00,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0071-MD,Benicia,7,,Benicia,,$8.00,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0068-KY,Benicia,7,,Benicia,,$8.00,,
09/27/2025,09/29/2025,1:01:06 PM,ADO0068-KY,Richmond,7,,Richmond,,$7.50,,
