Posted Date	Type	Trip date	Description	Plate / Pass	Amount	Balance
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 3:04	SR 99 Tunnel - Lane 02	AFO0090( SC	2.8	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 3:52	SR 520 Bridge - Lane 01	AFO0089) RI	4.9	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 1:11	SR 99 Tunnel - Lane 02	AFO0088_ PA	2.8	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 14:38	SR 16 Tacoma Narrows Bridge - Lane 03	AFO0087- OR	4.5	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 1:46	SR 520 Bridge - Lane 01	AFO0086+ OK	4.9	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 12:52	SR 16 Tacoma Narrows Bridge - Lane 03	AFO0085= OH	4.5	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 10:22	SR 520 Bridge - Lane 01	AFO0084} ND	4.9	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 9:34	SR 16 Tacoma Narrows Bridge - Lane 03	AFO0083{ NC	4.5	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 9:25	SR 99 Tunnel - Lane 02	AFO0082] NY	2.8	
10/12/2025	Toll - Good to Go! - Reversal	10/12/2025 19:16	SR 99 Tunnel - Lane 02	AFO0081[ NM	2.8	
