Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 21:44,SR 520 Bridge - Lane 01,AFO0090( SC,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 00:38,SR 99 Tunnel - Lane 02,AFO0089) RI,2.8,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 04:20,SR 520 Bridge - Lane 01,AFO0088_ PA,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 09:52,SR 520 Bridge - Lane 01,AFO0087- OR,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 17:45,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0086+ OK,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 11:11,SR 520 Bridge - Lane 01,AFO0085= OH,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 03:47,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0084} ND,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 12:51,SR 520 Bridge - Lane 01,AFO0083{ NC,4.9,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 08:46,SR 16 Tacoma Narrows Bridge - Lane 03,AFO0082] NY,4.5,
10/09/2025,Toll - Good to Go! - Reversal,10/11/2025 00:38,SR 99 Tunnel - Lane 02,AFO0081[ NM,2.8,
